Artist,Mood_emoji,Instrument,Era,Real_Artist,Genre,Energy,Main_Instrument
vira nova,happy,guitar,futuristic,Halsey,Alternative Pop,0.7,Vocals
echo vant,chill,trumpet,70s,Parquesvr,Post-Punk,0.76,Guitar
echo vant,sad,piano,futuristic,Parquesvr,Post-Punk,0.76,Guitar
taro vale,chill,bass,2010s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
noir signal,angry,violin,classical,Faithless,Electronic / Dance,0.88,Synth / DJ
mono chrome,chill,guitar,2000s,The Hives,Garage Rock,0.9,Guitar
cora miel,chill,bass,80s,Sadie Jean,Pop,0.52,Vocals
lena pulse,chill,guitar,futuristic,Delaporte,Electronic Pop,0.78,Synth
lumen riot,angry,drums,90s,Pixies,Alternative Rock,0.82,Guitar
elias storm,happy,dj,90s,Suede,Britpop,0.72,Vocals / Guitar
zaya ice,happy,synth,2000s,Flashy Ice Cream,Urban Trap,0.8,Vocals
eden bloom,chill,guitar,2010s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
dax nova,sad,guitar,medieval,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
elara venn,angry,violin,classical,Judeline,Pop,0.61,Vocals
noir signal,chill,guitar,futuristic,Faithless,Electronic / Dance,0.88,Synth / DJ
ryo kaze,happy,dj,medieval,Figa Flawas,Urban Pop Rap,0.79,Vocals
luna vex,happy,bass,2010s,Mama Dousha,Electronic Pop,0.7,Synth
axel noir,angry,piano,medieval,Ultraligera,Indie Rock,0.68,Guitar
stone vale,happy,piano,medieval,Els Pets,Rock,0.69,Guitar
zelka tano,sad,dj,80s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
cora miel,chill,piano,2000s,Sadie Jean,Pop,0.52,Vocals
arlo kain,chill,bass,futuristic,David Byrne,Art Rock,0.65,Vocals / Guitar
orion keys,happy,synth,90s,Jon Batiste,Jazz / Soul,0.6,Piano
kael vorn,happy,trumpet,2000s,Jovanotti,Pop / World Music,0.77,Vocals
mira cloud,chill,drums,classical,The Cardigans,Alternative Pop,0.65,Vocals
dust canyon,happy,piano,futuristic,The Black Crowes,Blues Rock,0.78,Guitar
juno vex,happy,bass,classical,Alizzz,Electronic Pop,0.71,Synth
vira nova,happy,dj,70s,Halsey,Alternative Pop,0.7,Vocals
nyra kade,happy,piano,medieval,Sampa the Great,Hip Hop / Soul,0.73,Vocals
crimson echo,angry,synth,70s,Garbage,Alternative Rock,0.75,Vocals
vira nova,sad,guitar,medieval,Halsey,Alternative Pop,0.7,Vocals
orin flux,chill,synth,classical,Dorian,Indie Electronic,0.73,Synth
mono chrome,angry,drums,medieval,The Hives,Garage Rock,0.9,Guitar
cora miel,chill,guitar,futuristic,Sadie Jean,Pop,0.52,Vocals
pyro kine,happy,bass,2000s,Son Rompe Pera,Marimba Punk,0.83,Marimba
nova tide,angry,drums,2000s,Midnight Generation,Funk / Disco,0.81,Synth
eira flux,sad,dj,90s,Zahara,Indie Pop,0.58,Vocals
viko ray,happy,drums,90s,Ginebras,Indie Pop,0.75,Guitar
aqua lume,sad,guitar,medieval,Polo & Pan,Electronic,0.62,Synth
axel noir,happy,drums,2000s,Ultraligera,Indie Rock,0.68,Guitar
nox arden,happy,dj,80s,Sen Senra,Indie Pop,0.64,Vocals
luna vex,angry,drums,medieval,Mama Dousha,Electronic Pop,0.7,Synth
elias storm,sad,drums,90s,Suede,Britpop,0.72,Vocals / Guitar
sol vireo,sad,trumpet,futuristic,Sexenni,Pop Rock,0.72,Guitar
noir signal,sad,violin,medieval,Faithless,Electronic / Dance,0.88,Synth / DJ
zaya ice,chill,violin,classical,Flashy Ice Cream,Urban Trap,0.8,Vocals
arlo kain,sad,drums,medieval,David Byrne,Art Rock,0.65,Vocals / Guitar
kai rio,happy,violin,90s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
rex volta,happy,trumpet,80s,Meute,Techno Brass,0.86,Brass
suri lane,chill,dj,70s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
kiro blaze,angry,trumpet,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
dante cross,happy,violin,classical,Mishima,Indie Rock,0.63,Vocals
mira solis,sad,bass,90s,Reneé Rapp,Pop,0.66,Vocals
crimson echo,angry,bass,90s,Garbage,Alternative Rock,0.75,Vocals
zaya ice,angry,guitar,classical,Flashy Ice Cream,Urban Trap,0.8,Vocals
elara venn,sad,guitar,70s,Judeline,Pop,0.61,Vocals
pyro kine,happy,piano,70s,Son Rompe Pera,Marimba Punk,0.83,Marimba
echo vant,chill,dj,futuristic,Parquesvr,Post-Punk,0.76,Guitar
mono chrome,sad,piano,90s,The Hives,Garage Rock,0.9,Guitar
luna vex,sad,dj,medieval,Mama Dousha,Electronic Pop,0.7,Synth
orion keys,happy,synth,classical,Jon Batiste,Jazz / Soul,0.6,Piano
nox arden,angry,violin,classical,Sen Senra,Indie Pop,0.64,Vocals
dust canyon,happy,violin,90s,The Black Crowes,Blues Rock,0.78,Guitar
echo vant,sad,synth,80s,Parquesvr,Post-Punk,0.76,Guitar
noir signal,sad,bass,2010s,Faithless,Electronic / Dance,0.88,Synth / DJ
bright hollow,chill,guitar,medieval,Two Door Cinema Club,Indie Rock,0.8,Guitar
axel noir,angry,bass,medieval,Ultraligera,Indie Rock,0.68,Guitar
noir signal,chill,dj,2010s,Faithless,Electronic / Dance,0.88,Synth / DJ
nox arden,happy,violin,90s,Sen Senra,Indie Pop,0.64,Vocals
suri lane,happy,dj,80s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
sora lyne,angry,trumpet,futuristic,Sigrid,Pop,0.72,Vocals
nox arden,happy,bass,90s,Sen Senra,Indie Pop,0.64,Vocals
taro vale,chill,synth,futuristic,Ezra Collective,Jazz / Afrobeat,0.74,Drums
elara venn,happy,dj,70s,Judeline,Pop,0.61,Vocals
dax nova,sad,guitar,2010s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
axel noir,happy,drums,90s,Ultraligera,Indie Rock,0.68,Guitar
orion keys,happy,drums,2010s,Jon Batiste,Jazz / Soul,0.6,Piano
nero pulse,sad,guitar,medieval,31 FAM,Urban Trap,0.82,Vocals
kai rio,angry,violin,80s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
liora vale,chill,piano,80s,Rigoberta Bandini,Indie Pop,0.68,Vocals
luma skye,chill,guitar,futuristic,Yami Safdie,Pop,0.55,Vocals
dax nova,sad,bass,2010s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
viko ray,sad,dj,medieval,Ginebras,Indie Pop,0.75,Guitar
rex volta,sad,synth,medieval,Meute,Techno Brass,0.86,Brass
mono chrome,chill,bass,80s,The Hives,Garage Rock,0.9,Guitar
aqua lume,chill,guitar,futuristic,Polo & Pan,Electronic,0.62,Synth
liora vale,happy,piano,90s,Rigoberta Bandini,Indie Pop,0.68,Vocals
mira solis,angry,bass,2010s,Reneé Rapp,Pop,0.66,Vocals
nyra kade,happy,piano,2000s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
kael vorn,happy,dj,medieval,Jovanotti,Pop / World Music,0.77,Vocals
luna vex,sad,trumpet,70s,Mama Dousha,Electronic Pop,0.7,Synth
nyx aura,angry,drums,80s,Ven'nus,Alternative Pop,0.66,Vocals
eira flux,angry,guitar,90s,Zahara,Indie Pop,0.58,Vocals
stone vale,angry,trumpet,80s,Els Pets,Rock,0.69,Guitar
sora lyne,happy,bass,2010s,Sigrid,Pop,0.72,Vocals
kai rio,sad,bass,90s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
sol vireo,happy,synth,70s,Sexenni,Pop Rock,0.72,Guitar
mono chrome,chill,dj,90s,The Hives,Garage Rock,0.9,Guitar
lumen riot,chill,guitar,80s,Pixies,Alternative Rock,0.82,Guitar
suri lane,happy,trumpet,futuristic,Stay Homas,Indie Pop,0.62,Guitar / Vocals
elara venn,happy,violin,medieval,Judeline,Pop,0.61,Vocals
dax nova,chill,bass,80s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
arlo kain,sad,bass,medieval,David Byrne,Art Rock,0.65,Vocals / Guitar
dax nova,happy,trumpet,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
nox arden,chill,trumpet,80s,Sen Senra,Indie Pop,0.64,Vocals
mono chrome,sad,dj,80s,The Hives,Garage Rock,0.9,Guitar
echo vant,happy,synth,medieval,Parquesvr,Post-Punk,0.76,Guitar
vex orion,sad,drums,classical,Chico Blanco,Electronic,0.79,DJ
axel noir,sad,guitar,medieval,Ultraligera,Indie Rock,0.68,Guitar
mira solis,sad,drums,futuristic,Reneé Rapp,Pop,0.66,Vocals
eden bloom,sad,synth,90s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
dust canyon,happy,guitar,2000s,The Black Crowes,Blues Rock,0.78,Guitar
noir signal,chill,bass,80s,Faithless,Electronic / Dance,0.88,Synth / DJ
orion keys,happy,trumpet,2000s,Jon Batiste,Jazz / Soul,0.6,Piano
noir signal,chill,drums,futuristic,Faithless,Electronic / Dance,0.88,Synth / DJ
vira nova,angry,trumpet,classical,Halsey,Alternative Pop,0.7,Vocals
arlo kain,happy,bass,classical,David Byrne,Art Rock,0.65,Vocals / Guitar
luna vex,sad,violin,2010s,Mama Dousha,Electronic Pop,0.7,Synth
arlo kain,sad,violin,2010s,David Byrne,Art Rock,0.65,Vocals / Guitar
elias storm,sad,piano,2000s,Suede,Britpop,0.72,Vocals / Guitar
vira nova,sad,guitar,70s,Halsey,Alternative Pop,0.7,Vocals
ryo kaze,chill,trumpet,90s,Figa Flawas,Urban Pop Rap,0.79,Vocals
vex orion,sad,violin,medieval,Chico Blanco,Electronic,0.79,DJ
mono chrome,angry,bass,futuristic,The Hives,Garage Rock,0.9,Guitar
lumen riot,happy,synth,futuristic,Pixies,Alternative Rock,0.82,Guitar
mira cloud,chill,violin,2010s,The Cardigans,Alternative Pop,0.65,Vocals
rex volta,angry,drums,classical,Meute,Techno Brass,0.86,Brass
kael vorn,happy,bass,futuristic,Jovanotti,Pop / World Music,0.77,Vocals
riven skoll,happy,trumpet,classical,Sidonie,Indie Rock,0.74,Guitar
sol vireo,chill,bass,classical,Sexenni,Pop Rock,0.72,Guitar
echo vant,happy,violin,classical,Parquesvr,Post-Punk,0.76,Guitar
stone vale,angry,synth,2000s,Els Pets,Rock,0.69,Guitar
luma skye,happy,guitar,2000s,Yami Safdie,Pop,0.55,Vocals
sora lyne,sad,trumpet,2000s,Sigrid,Pop,0.72,Vocals
nyra kade,happy,trumpet,futuristic,Sampa the Great,Hip Hop / Soul,0.73,Vocals
crimson echo,sad,piano,futuristic,Garbage,Alternative Rock,0.75,Vocals
eden bloom,angry,piano,80s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
riven skoll,chill,drums,2000s,Sidonie,Indie Rock,0.74,Guitar
ryo kaze,happy,trumpet,classical,Figa Flawas,Urban Pop Rap,0.79,Vocals
mina rose,happy,piano,futuristic,Mushkaa,Urban Pop,0.68,Vocals
rex volta,sad,violin,medieval,Meute,Techno Brass,0.86,Brass
nero pulse,sad,piano,80s,31 FAM,Urban Trap,0.82,Vocals
nero pulse,chill,dj,medieval,31 FAM,Urban Trap,0.82,Vocals
mira solis,sad,guitar,90s,Reneé Rapp,Pop,0.66,Vocals
mono chrome,happy,dj,2000s,The Hives,Garage Rock,0.9,Guitar
echo vant,chill,synth,2000s,Parquesvr,Post-Punk,0.76,Guitar
sora lyne,sad,violin,80s,Sigrid,Pop,0.72,Vocals
nox arden,sad,piano,70s,Sen Senra,Indie Pop,0.64,Vocals
nyra kade,chill,guitar,70s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
zaya ice,happy,guitar,classical,Flashy Ice Cream,Urban Trap,0.8,Vocals
dust canyon,sad,drums,70s,The Black Crowes,Blues Rock,0.78,Guitar
orion keys,happy,guitar,2010s,Jon Batiste,Jazz / Soul,0.6,Piano
luma skye,happy,bass,70s,Yami Safdie,Pop,0.55,Vocals
stone vale,happy,guitar,futuristic,Els Pets,Rock,0.69,Guitar
rex volta,chill,bass,classical,Meute,Techno Brass,0.86,Brass
cale rowan,sad,dj,medieval,La Ludwig Band,Folk Rock,0.67,Guitar
eden bloom,sad,guitar,2010s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
nox arden,happy,synth,80s,Sen Senra,Indie Pop,0.64,Vocals
mono chrome,chill,bass,futuristic,The Hives,Garage Rock,0.9,Guitar
dante cross,chill,bass,2010s,Mishima,Indie Rock,0.63,Vocals
lena pulse,happy,bass,70s,Delaporte,Electronic Pop,0.78,Synth
stone vale,chill,drums,70s,Els Pets,Rock,0.69,Guitar
arlo kain,sad,trumpet,2000s,David Byrne,Art Rock,0.65,Vocals / Guitar
nero pulse,happy,bass,80s,31 FAM,Urban Trap,0.82,Vocals
suri lane,happy,bass,80s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
luna vex,sad,bass,90s,Mama Dousha,Electronic Pop,0.7,Synth
aqua lume,sad,guitar,2000s,Polo & Pan,Electronic,0.62,Synth
orin flux,chill,violin,80s,Dorian,Indie Electronic,0.73,Synth
orin flux,happy,guitar,80s,Dorian,Indie Electronic,0.73,Synth
kai rio,sad,bass,2000s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
pyro kine,chill,trumpet,80s,Son Rompe Pera,Marimba Punk,0.83,Marimba
lily drift,happy,synth,90s,Chiquita Movida,Indie Pop,0.6,Vocals
kiro blaze,sad,synth,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
lumen riot,sad,bass,medieval,Pixies,Alternative Rock,0.82,Guitar
dust canyon,chill,piano,2000s,The Black Crowes,Blues Rock,0.78,Guitar
vira nova,sad,dj,70s,Halsey,Alternative Pop,0.7,Vocals
kiro blaze,angry,trumpet,classical,Lildami,Urban Hip Hop,0.74,Vocals
kai rio,happy,dj,futuristic,The Tyets,Urban Pop Reggaeton,0.81,Vocals
kiro blaze,sad,synth,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
mono chrome,angry,guitar,futuristic,The Hives,Garage Rock,0.9,Guitar
nova tide,happy,guitar,futuristic,Midnight Generation,Funk / Disco,0.81,Synth
orin flux,angry,dj,medieval,Dorian,Indie Electronic,0.73,Synth
taro vale,happy,bass,2000s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
stone vale,angry,piano,70s,Els Pets,Rock,0.69,Guitar
riven skoll,chill,piano,90s,Sidonie,Indie Rock,0.74,Guitar
dax nova,sad,synth,medieval,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
lily drift,angry,drums,classical,Chiquita Movida,Indie Pop,0.6,Vocals
kiro blaze,happy,drums,70s,Lildami,Urban Hip Hop,0.74,Vocals
lumen riot,happy,piano,medieval,Pixies,Alternative Rock,0.82,Guitar
sora lyne,sad,dj,futuristic,Sigrid,Pop,0.72,Vocals
crimson echo,chill,bass,2000s,Garbage,Alternative Rock,0.75,Vocals
cale rowan,chill,trumpet,classical,La Ludwig Band,Folk Rock,0.67,Guitar
mina rose,chill,violin,2010s,Mushkaa,Urban Pop,0.68,Vocals
elara venn,happy,trumpet,80s,Judeline,Pop,0.61,Vocals
riven skoll,sad,bass,medieval,Sidonie,Indie Rock,0.74,Guitar
sol vireo,happy,piano,70s,Sexenni,Pop Rock,0.72,Guitar
orin flux,chill,bass,2010s,Dorian,Indie Electronic,0.73,Synth
crimson echo,angry,drums,80s,Garbage,Alternative Rock,0.75,Vocals
cale rowan,happy,violin,2000s,La Ludwig Band,Folk Rock,0.67,Guitar
nero pulse,sad,piano,futuristic,31 FAM,Urban Trap,0.82,Vocals
pyro kine,sad,trumpet,medieval,Son Rompe Pera,Marimba Punk,0.83,Marimba
dante cross,angry,dj,70s,Mishima,Indie Rock,0.63,Vocals
taro vale,happy,trumpet,70s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
lily drift,happy,drums,70s,Chiquita Movida,Indie Pop,0.6,Vocals
crimson echo,chill,violin,2000s,Garbage,Alternative Rock,0.75,Vocals
crimson echo,angry,guitar,90s,Garbage,Alternative Rock,0.75,Vocals
sora lyne,happy,drums,medieval,Sigrid,Pop,0.72,Vocals
kael vorn,sad,violin,2000s,Jovanotti,Pop / World Music,0.77,Vocals
cale rowan,sad,bass,futuristic,La Ludwig Band,Folk Rock,0.67,Guitar
kael vorn,sad,violin,2010s,Jovanotti,Pop / World Music,0.77,Vocals
kiro blaze,sad,bass,classical,Lildami,Urban Hip Hop,0.74,Vocals
vira nova,happy,drums,2010s,Halsey,Alternative Pop,0.7,Vocals
luna vex,chill,trumpet,classical,Mama Dousha,Electronic Pop,0.7,Synth
nyx aura,happy,violin,futuristic,Ven'nus,Alternative Pop,0.66,Vocals
sol vireo,chill,piano,futuristic,Sexenni,Pop Rock,0.72,Guitar
eira flux,sad,violin,2010s,Zahara,Indie Pop,0.58,Vocals
vira nova,happy,bass,90s,Halsey,Alternative Pop,0.7,Vocals
viko ray,sad,guitar,70s,Ginebras,Indie Pop,0.75,Guitar
mira solis,happy,drums,medieval,Reneé Rapp,Pop,0.66,Vocals
elara venn,angry,bass,80s,Judeline,Pop,0.61,Vocals
mina rose,happy,bass,futuristic,Mushkaa,Urban Pop,0.68,Vocals
luma skye,angry,guitar,classical,Yami Safdie,Pop,0.55,Vocals
liora vale,chill,trumpet,2000s,Rigoberta Bandini,Indie Pop,0.68,Vocals
viko ray,sad,synth,70s,Ginebras,Indie Pop,0.75,Guitar
vex orion,chill,synth,medieval,Chico Blanco,Electronic,0.79,DJ
taro vale,happy,bass,classical,Ezra Collective,Jazz / Afrobeat,0.74,Drums
nyx aura,chill,bass,futuristic,Ven'nus,Alternative Pop,0.66,Vocals
nyra kade,sad,violin,70s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
nyx aura,angry,guitar,80s,Ven'nus,Alternative Pop,0.66,Vocals
pyro kine,sad,guitar,2000s,Son Rompe Pera,Marimba Punk,0.83,Marimba
liora vale,happy,bass,80s,Rigoberta Bandini,Indie Pop,0.68,Vocals
nero pulse,happy,violin,90s,31 FAM,Urban Trap,0.82,Vocals
sol vireo,chill,bass,futuristic,Sexenni,Pop Rock,0.72,Guitar
nyra kade,chill,synth,80s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
mira solis,sad,guitar,medieval,Reneé Rapp,Pop,0.66,Vocals
mira solis,sad,guitar,2000s,Reneé Rapp,Pop,0.66,Vocals
mira solis,angry,bass,medieval,Reneé Rapp,Pop,0.66,Vocals
elara venn,sad,synth,futuristic,Judeline,Pop,0.61,Vocals
elias storm,happy,synth,80s,Suede,Britpop,0.72,Vocals / Guitar
eira flux,happy,violin,90s,Zahara,Indie Pop,0.58,Vocals
dante cross,sad,guitar,classical,Mishima,Indie Rock,0.63,Vocals
vira nova,happy,piano,futuristic,Halsey,Alternative Pop,0.7,Vocals
orion keys,happy,violin,2010s,Jon Batiste,Jazz / Soul,0.6,Piano
dax nova,sad,synth,futuristic,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
axel noir,happy,guitar,80s,Ultraligera,Indie Rock,0.68,Guitar
nyx aura,sad,drums,2000s,Ven'nus,Alternative Pop,0.66,Vocals
arlo kain,happy,guitar,80s,David Byrne,Art Rock,0.65,Vocals / Guitar
zaya ice,happy,bass,70s,Flashy Ice Cream,Urban Trap,0.8,Vocals
nyx aura,chill,guitar,2000s,Ven'nus,Alternative Pop,0.66,Vocals
viko ray,happy,trumpet,medieval,Ginebras,Indie Pop,0.75,Guitar
zelka tano,happy,violin,2000s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
cale rowan,sad,guitar,70s,La Ludwig Band,Folk Rock,0.67,Guitar
nova tide,sad,dj,80s,Midnight Generation,Funk / Disco,0.81,Synth
eira flux,chill,violin,90s,Zahara,Indie Pop,0.58,Vocals
orin flux,chill,dj,medieval,Dorian,Indie Electronic,0.73,Synth
kai rio,sad,bass,90s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
nyra kade,sad,synth,80s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
elias storm,happy,bass,classical,Suede,Britpop,0.72,Vocals / Guitar
noir signal,happy,piano,80s,Faithless,Electronic / Dance,0.88,Synth / DJ
zelka tano,angry,piano,80s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
stone vale,happy,drums,90s,Els Pets,Rock,0.69,Guitar
kael vorn,happy,trumpet,2000s,Jovanotti,Pop / World Music,0.77,Vocals
noir signal,angry,trumpet,90s,Faithless,Electronic / Dance,0.88,Synth / DJ
zelka tano,chill,synth,classical,Bomba Estéreo,Electro Cumbia,0.85,Vocals
lena pulse,sad,guitar,classical,Delaporte,Electronic Pop,0.78,Synth
mira solis,sad,dj,70s,Reneé Rapp,Pop,0.66,Vocals
noir signal,happy,synth,70s,Faithless,Electronic / Dance,0.88,Synth / DJ
mono chrome,happy,drums,medieval,The Hives,Garage Rock,0.9,Guitar
mono chrome,sad,piano,medieval,The Hives,Garage Rock,0.9,Guitar
eira flux,sad,guitar,80s,Zahara,Indie Pop,0.58,Vocals
mira cloud,sad,drums,medieval,The Cardigans,Alternative Pop,0.65,Vocals
echo vant,sad,dj,2010s,Parquesvr,Post-Punk,0.76,Guitar
dust canyon,angry,dj,2010s,The Black Crowes,Blues Rock,0.78,Guitar
zaya ice,happy,trumpet,medieval,Flashy Ice Cream,Urban Trap,0.8,Vocals
mira cloud,happy,piano,2000s,The Cardigans,Alternative Pop,0.65,Vocals
viko ray,chill,dj,futuristic,Ginebras,Indie Pop,0.75,Guitar
dust canyon,angry,violin,futuristic,The Black Crowes,Blues Rock,0.78,Guitar
crimson echo,angry,piano,70s,Garbage,Alternative Rock,0.75,Vocals
nyra kade,chill,drums,futuristic,Sampa the Great,Hip Hop / Soul,0.73,Vocals
lily drift,chill,guitar,2010s,Chiquita Movida,Indie Pop,0.6,Vocals
orin flux,angry,dj,2000s,Dorian,Indie Electronic,0.73,Synth
kael vorn,happy,synth,80s,Jovanotti,Pop / World Music,0.77,Vocals
ryo kaze,happy,trumpet,2010s,Figa Flawas,Urban Pop Rap,0.79,Vocals
suri lane,happy,piano,90s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
zelka tano,happy,trumpet,70s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
eden bloom,happy,guitar,futuristic,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
lena pulse,chill,synth,futuristic,Delaporte,Electronic Pop,0.78,Synth
luna vex,chill,guitar,70s,Mama Dousha,Electronic Pop,0.7,Synth
suri lane,chill,guitar,medieval,Stay Homas,Indie Pop,0.62,Guitar / Vocals
riven skoll,happy,dj,2010s,Sidonie,Indie Rock,0.74,Guitar
eden bloom,happy,synth,2010s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
rex volta,angry,guitar,90s,Meute,Techno Brass,0.86,Brass
nero pulse,chill,guitar,70s,31 FAM,Urban Trap,0.82,Vocals
crimson echo,happy,synth,futuristic,Garbage,Alternative Rock,0.75,Vocals
liora vale,happy,guitar,80s,Rigoberta Bandini,Indie Pop,0.68,Vocals
lily drift,happy,bass,2010s,Chiquita Movida,Indie Pop,0.6,Vocals
vira nova,happy,violin,futuristic,Halsey,Alternative Pop,0.7,Vocals
lily drift,happy,synth,classical,Chiquita Movida,Indie Pop,0.6,Vocals
lily drift,happy,dj,classical,Chiquita Movida,Indie Pop,0.6,Vocals
suri lane,sad,piano,70s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
lena pulse,sad,synth,90s,Delaporte,Electronic Pop,0.78,Synth
orion keys,happy,dj,medieval,Jon Batiste,Jazz / Soul,0.6,Piano
ryo kaze,sad,guitar,medieval,Figa Flawas,Urban Pop Rap,0.79,Vocals
eira flux,sad,guitar,90s,Zahara,Indie Pop,0.58,Vocals
stone vale,chill,piano,2000s,Els Pets,Rock,0.69,Guitar
luma skye,angry,piano,80s,Yami Safdie,Pop,0.55,Vocals
axel noir,happy,synth,80s,Ultraligera,Indie Rock,0.68,Guitar
dust canyon,chill,trumpet,classical,The Black Crowes,Blues Rock,0.78,Guitar
arlo kain,happy,bass,2000s,David Byrne,Art Rock,0.65,Vocals / Guitar
liora vale,sad,drums,medieval,Rigoberta Bandini,Indie Pop,0.68,Vocals
sora lyne,chill,guitar,70s,Sigrid,Pop,0.72,Vocals
vira nova,happy,violin,classical,Halsey,Alternative Pop,0.7,Vocals
kiro blaze,happy,violin,80s,Lildami,Urban Hip Hop,0.74,Vocals
riven skoll,happy,dj,90s,Sidonie,Indie Rock,0.74,Guitar
aqua lume,sad,dj,90s,Polo & Pan,Electronic,0.62,Synth
mira solis,chill,piano,2000s,Reneé Rapp,Pop,0.66,Vocals
cale rowan,chill,bass,90s,La Ludwig Band,Folk Rock,0.67,Guitar
sora lyne,sad,trumpet,classical,Sigrid,Pop,0.72,Vocals
luma skye,happy,drums,70s,Yami Safdie,Pop,0.55,Vocals
nox arden,happy,trumpet,70s,Sen Senra,Indie Pop,0.64,Vocals
arlo kain,sad,guitar,2000s,David Byrne,Art Rock,0.65,Vocals / Guitar
sora lyne,happy,synth,70s,Sigrid,Pop,0.72,Vocals
axel noir,chill,dj,futuristic,Ultraligera,Indie Rock,0.68,Guitar
cale rowan,chill,guitar,70s,La Ludwig Band,Folk Rock,0.67,Guitar
vex orion,happy,trumpet,2010s,Chico Blanco,Electronic,0.79,DJ
vira nova,sad,violin,2000s,Halsey,Alternative Pop,0.7,Vocals
dax nova,chill,guitar,90s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
echo vant,angry,violin,futuristic,Parquesvr,Post-Punk,0.76,Guitar
kael vorn,sad,trumpet,70s,Jovanotti,Pop / World Music,0.77,Vocals
sol vireo,sad,guitar,90s,Sexenni,Pop Rock,0.72,Guitar
taro vale,happy,violin,70s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
zaya ice,chill,guitar,medieval,Flashy Ice Cream,Urban Trap,0.8,Vocals
kiro blaze,sad,synth,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
rex volta,happy,trumpet,futuristic,Meute,Techno Brass,0.86,Brass
vex orion,angry,guitar,90s,Chico Blanco,Electronic,0.79,DJ
mira solis,chill,trumpet,medieval,Reneé Rapp,Pop,0.66,Vocals
cale rowan,sad,dj,80s,La Ludwig Band,Folk Rock,0.67,Guitar
juno vex,sad,trumpet,2000s,Alizzz,Electronic Pop,0.71,Synth
mina rose,chill,piano,70s,Mushkaa,Urban Pop,0.68,Vocals
nyx aura,sad,trumpet,70s,Ven'nus,Alternative Pop,0.66,Vocals
orion keys,happy,dj,90s,Jon Batiste,Jazz / Soul,0.6,Piano
dust canyon,sad,dj,2010s,The Black Crowes,Blues Rock,0.78,Guitar
dante cross,happy,trumpet,70s,Mishima,Indie Rock,0.63,Vocals
taro vale,chill,drums,70s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
dust canyon,happy,trumpet,2000s,The Black Crowes,Blues Rock,0.78,Guitar
sol vireo,angry,synth,80s,Sexenni,Pop Rock,0.72,Guitar
taro vale,happy,dj,futuristic,Ezra Collective,Jazz / Afrobeat,0.74,Drums
orin flux,angry,drums,futuristic,Dorian,Indie Electronic,0.73,Synth
luma skye,happy,dj,classical,Yami Safdie,Pop,0.55,Vocals
lena pulse,chill,piano,2010s,Delaporte,Electronic Pop,0.78,Synth
riven skoll,chill,drums,futuristic,Sidonie,Indie Rock,0.74,Guitar
nyx aura,happy,violin,70s,Ven'nus,Alternative Pop,0.66,Vocals
nox arden,chill,trumpet,medieval,Sen Senra,Indie Pop,0.64,Vocals
riven skoll,chill,guitar,80s,Sidonie,Indie Rock,0.74,Guitar
luma skye,sad,drums,70s,Yami Safdie,Pop,0.55,Vocals
riven skoll,chill,dj,90s,Sidonie,Indie Rock,0.74,Guitar
